ID заказа	Дата поставки	Наименование	Количество, шт	Сумма, р	Клиент	Город
REG-001	05.01.2015	Кроссовки	48	10100	ПРО Спорт	Владивосток
REG-002	06.01.2015	Футболка	122	15300	Спортифф	Владивосток
REG-003	07.01.2015	Футболка	148	18540	Олимпиец	Москва
REG-004	07.01.2015	Кроссовки	249	52000	Фаворит	Санкт-Петербург
REG-005	08.01.2015	Куртка	50	7560	ПРО Спорт	Владивосток
REG-006	09.01.2015	Куртка	63	9540	Чемпион	Москва
REG-007	11.01.2015	Жилет	128	40660	Все для спорта	Нижний Новгород
REG-008	13.01.2015	Футболка	64	8100	Чемпион	Москва
REG-009	14.01.2015	Самокат	65	11990	Будь здоров!	Нижний Новгород
REG-010	14.01.2015	Куртка	121	18180	ПРО Спорт	Владивосток
REG-011	15.01.2015	Куртка	146	22032	Олимпиец	Москва
REG-012	17.01.2015	Кроссовки	49	10300	Будь здоров!	Нижний Новгород
REG-013	18.01.2015	Самокат	62	11440	Фаворит	Санкт-Петербург
REG-014	22.01.2015	Куртка	88	13230	Будь здоров!	Нижний Новгород
REG-015	23.01.2015	Футболка	50	6360	Все для спорта	Нижний Новгород
REG-016	26.01.2015	Футболка	179	22470	Олимпиец	Москва
REG-017	26.01.2015	Куртка	103	15552	Радуга Спорта	Санкт-Петербург
REG-018	27.01.2015	Кроссовки	104	21800	Олимпиец	Москва
REG-019	27.01.2015	Кроссовки	242	50500	Спортифф	Владивосток
REG-020	01.02.2015	Куртка	97	14688	ПРО Спорт	Владивосток
REG-021	04.02.2015	Кеды	148	44496	Олимпиец	Москва
REG-022	06.02.2015	Футболка	24	3120	Олимпиец	Москва
REG-023	08.02.2015	Кеды	151	45360	Чемпион	Москва
REG-024	10.02.2015	Куртка	25	3816	Будь здоров!	Нижний Новгород
REG-025	10.02.2015	Футболка	64	8025	Радуга Спорта	Санкт-Петербург
REG-026	11.02.2015	Футболка	155	19440	Чемпион	Москва
REG-027	11.02.2015	Жилет	65	20710	Фаворит	Санкт-Петербург
REG-028	14.02.2015	Самокат	181	33330	Радуга Спорта	Санкт-Петербург
REG-029	15.02.2015	Самокат	146	26928	Будь здоров!	Нижний Новгород
REG-030	17.02.2015	Жилет	49	15656	Чемпион	Москва
REG-031	18.02.2015	Кеды	124	37440	Спортифф	Владивосток
REG-032	21.02.2015	Кроссовки	50	10500	Спортифф	Владивосток
REG-033	21.02.2015	Кеды	25	7632	Чемпион	Москва
REG-034	25.02.2015	Кеды	51	15408	Олимпиец	Москва
REG-035	02.03.2015	Куртка	155	23328	Будь здоров!	Нижний Новгород
REG-036	03.03.2015	Кроссовки	52	10900	Чемпион	Москва
REG-037	08.03.2015	Футболка	169	21210	Радуга Спорта	Санкт-Петербург
REG-038	08.03.2015	Футболка	61	7650	ПРО Спорт	Владивосток
REG-039	09.03.2015	Кеды	24	7416	Чемпион	Москва
REG-040	12.03.2015	Жилет	99	31616	Олимпиец	Москва
